image_path,question,answer
jpg/image_00001.jpg,What is the name of this flower?,Rose
jpg/image_00001.jpg,What color are the petals?,Red
jpg/image_00001.jpg,How many petals are visible?,Five
jpg/image_00001.jpg,Does this flower have pointed petals?,Yes
jpg/image_00001.jpg,Is this a Rose?,Yes
jpg/image_00001.jpg,Is this a Sunflower?,No
jpg/image_00002.jpg,What is the name of this flower?,Rose
jpg/image_00002.jpg,What color are the petals?,Red
jpg/image_00002.jpg,How many petals are visible?,Five
jpg/image_00002.jpg,Does this flower have pointed petals?,Yes
jpg/image_00002.jpg,Is this a Rose?,Yes
jpg/image_00002.jpg,Is this a Lily?,No
jpg/image_00003.jpg,What is the name of this flower?,Rose
jpg/image_00003.jpg,What color are the petals?,Red
jpg/image_00003.jpg,How many petals are visible?,Five
jpg/image_00003.jpg,Does this flower have pointed petals?,Yes
jpg/image_00003.jpg,Is this a Rose?,Yes
jpg/image_00003.jpg,Is this a Orchid?,No
jpg/image_00004.jpg,What is the name of this flower?,Rose
jpg/image_00004.jpg,What color are the petals?,Red
jpg/image_00004.jpg,How many petals are visible?,Five
jpg/image_00004.jpg,Does this flower have pointed petals?,Yes
jpg/image_00004.jpg,Is this a Rose?,Yes
jpg/image_00004.jpg,Is this a Daisy?,No
jpg/image_00005.jpg,What is the name of this flower?,Rose
jpg/image_00005.jpg,What color are the petals?,Red
jpg/image_00005.jpg,How many petals are visible?,Five
jpg/image_00005.jpg,Does this flower have pointed petals?,Yes
jpg/image_00005.jpg,Is this a Rose?,Yes
jpg/image_00005.jpg,Is this a Daisy?,No
jpg/image_00006.jpg,What is the name of this flower?,Rose
jpg/image_00006.jpg,What color are the petals?,Red
jpg/image_00006.jpg,How many petals are visible?,Five
jpg/image_00006.jpg,Does this flower have pointed petals?,Yes
jpg/image_00006.jpg,Is this a Rose?,Yes
jpg/image_00006.jpg,Is this a Tulip?,No
jpg/image_00007.jpg,What is the name of this flower?,Rose
jpg/image_00007.jpg,What color are the petals?,Red
jpg/image_00007.jpg,How many petals are visible?,Five
jpg/image_00007.jpg,Does this flower have pointed petals?,Yes
jpg/image_00007.jpg,Is this a Rose?,Yes
jpg/image_00007.jpg,Is this a Sunflower?,No
jpg/image_00008.jpg,What is the name of this flower?,Rose
jpg/image_00008.jpg,What color are the petals?,Red
jpg/image_00008.jpg,How many petals are visible?,Five
jpg/image_00008.jpg,Does this flower have pointed petals?,Yes
jpg/image_00008.jpg,Is this a Rose?,Yes
jpg/image_00008.jpg,Is this a Lotus?,No
jpg/image_00009.jpg,What is the name of this flower?,Rose
jpg/image_00009.jpg,What color are the petals?,Red
jpg/image_00009.jpg,How many petals are visible?,Five
jpg/image_00009.jpg,Does this flower have pointed petals?,Yes
jpg/image_00009.jpg,Is this a Rose?,Yes
jpg/image_00009.jpg,Is this a Sunflower?,No
jpg/image_00010.jpg,What is the name of this flower?,Rose
jpg/image_00010.jpg,What color are the petals?,Red
jpg/image_00010.jpg,How many petals are visible?,Five
